typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2312173","false","8","kg","2312173","false","2312173","false","0","false","2515479",,"2515479","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","8","kg","40","false","40","false","0","false","243",,"243","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","681860","false","8","kg","681860","false","681860","false","0","false","965311",,"965311","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","251","FRA","France","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3302","false","8","kg","3302","false","3302","false","0","false","21448",,"21448","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5025","false","8","kg","5025","false","5025","false","0","false","48500",,"48500","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","634","QAT","Qatar","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93099500","false","8","kg","93099500","false","93099500","false","0","false","60514639",,"60514639","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47024300","false","8","kg","47024300","false","47024300","false","0","false","32046317",,"32046317","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3727379","false","8","kg","3727379","false","3727379","false","0","false","2446595",,"2446595","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","141",,"141","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86931000","false","8","kg","86931000","false","86931000","false","0","false","58755780",,"58755780","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","323633706","false","8","kg","323633706","false","323633706","false","0","false","157789215",,"157789215","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","554421041","false","8","kg","554421041","false","554421041","false","0","false","311621666",,"311621666","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","372","IRL","Ireland","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21","false","8","kg","21","false","21","false","0","false","9091",,"9091","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","99","false","8","kg","99","false","99","false","0","false","11194",,"11194","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","8","kg","10","false","10","false","0","false","194",,"194","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","566","NGA","Nigeria","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","510649000","false","8","kg","510649000","false","510649000","false","0","false","302163920",,"302163920","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","489792000","false","8","kg","489792000","false","489792000","false","0","false","295932112",,"295932112","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1587502800","false","8","kg","1587502800","false","1587502800","false","0","false","966983504",,"966983504","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","12","DZA","Algeria","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126893000","false","8","kg","126893000","false","126893000","false","0","false","81003278",,"81003278","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","31","AZE","Azerbaijan","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","131757000","false","8","kg","131757000","false","131757000","false","0","false","80899798",,"80899798","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","266","GAB","Gabon","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","248186000","false","8","kg","248186000","false","248186000","false","0","false","158221542",,"158221542","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80225800","false","8","kg","80225800","false","80225800","false","0","false","48762854",,"48762854","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","124946404","false","8","kg","124946404","false","124946404","false","0","false","110336119",,"110336119","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","557650001","false","8","kg","557650001","false","557650001","false","0","false","395476208",,"395476208","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","484","MEX","Mexico","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","66",,"66","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5809220","false","8","kg","5809220","false","5809220","false","0","false","6291628",,"6291628","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","581","false","8","kg","581","false","581","false","0","false","28267",,"28267","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","8","kg","4","false","4","false","0","false","132",,"132","0","false","true",
